Feature,Coefficient
RPM,1.3654461604828512e-06
SpindleTemp,0.000906970589990918
XTemp,0.0021313245742693296
YTemp,-0.0019037837907387735
ZTemp,-0.0034260731892945743
ElapsedTime,6.367517618205605e-05
