Feature,Importance
ElapsedTime,0.8562583037411556
SpindleTemp,0.1345148147258175
ZTemp,0.008688481155253867
RPM,0.0004813421318535227
YTemp,5.474569749927756e-05
XTemp,2.3125484202788155e-06
