Date,Time,RPM,SpindleTemp,XTemp,YTemp,ZTemp,X_Error,Y_Error,Z_Error
20260625,10:33:56,6000,30,54,54,61,-0.0129,0.0127,-0.0053
20260625,10:34:49,6000,30,54,54,61,-0.0125,0.0125,-0.0054
20260625,10:35:42,6000,30,54,54,61,-0.0118,0.0127,-0.0055
20260625,10:36:33,6000,30,54,54,61,-0.0121,0.0127,-0.0057
20260625,10:37:26,6000,30,54,54,61,-0.0122,0.013,-0.0054
20260625,10:38:18,6000,30,54,54,61,-0.0121,0.0127,-0.0054
20260625,10:39:10,6000,30,54,54,61,-0.0125,0.0129,-0.0058
20260625,10:40:03,6000,30,54,54,61,-0.0125,0.0128,-0.0057
20260625,10:40:56,6000,30,54,54,61,-0.0127,0.0127,-0.0061
20260625,10:41:49,6000,30,54,54,61,-0.0123,0.0127,-0.006
20260625,10:42:41,6000,30,54,54,61,-0.0123,0.013,-0.0064
20260625,10:43:33,6000,30,54,54,61,-0.0125,0.0133,-0.0064
20260625,10:44:26,6000,30,54,54,61,-0.012,0.0129,-0.0063
20260625,10:45:39,6000,30,54,54,61,-0.0129,0.0136,-0.0059
20260625,10:46:32,6000,30,54,54,61,-0.0124,0.0134,-0.0062
20260625,10:47:24,6000,30,54,54,61,-0.0121,0.0134,-0.0062
20260625,10:48:17,6000,31,54,54,61,-0.0122,0.0133,-0.0066
20260625,10:49:10,6000,31,54,54,61,-0.012,0.0133,-0.0063
20260625,10:50:03,6000,31,54,54,61,-0.0123,0.0131,-0.0063
20260625,10:50:57,6000,31,54,54,61,-0.012,0.0137,-0.0068
20260625,10:51:52,6000,31,54,54,61,-0.0121,0.0134,-0.0069
20260625,10:52:47,6000,31,54,54,61,-0.0123,0.0133,-0.0064
20260625,10:53:43,6000,31,54,54,61,-0.0124,0.0134,-0.0067
20260625,10:54:39,6000,31,54,54,61,-0.012,0.0132,-0.0065
20260625,10:55:31,6000,31,54,54,61,-0.0123,0.0137,-0.0068
20260625,10:56:24,6000,31,54,54,61,-0.0119,0.0138,-0.007
20260625,10:57:16,6000,31,54,54,61,-0.0123,0.0137,-0.0068
20260625,10:58:08,6000,31,54,54,61,-0.0122,0.0136,-0.0066
20260625,10:59:01,6000,31,54,54,61,-0.0123,0.0137,-0.007
20260625,10:59:53,6000,31,54,54,61,-0.0124,0.0137,-0.0068
20260625,11:00:47,6000,31,54,54,61,-0.0125,0.0137,-0.0072
20260625,11:01:40,6000,31,54,54,61,-0.0119,0.0132,-0.0071
20260625,11:02:35,6000,31,54,54,61,-0.0124,0.013,-0.0069
20260625,11:03:30,6000,34,54,54,61,-0.0122,0.0132,-0.0073
20260625,11:04:25,6000,34,54,54,61,-0.0119,0.0131,-0.0068
20260625,11:05:21,6000,34,54,54,61,-0.012,0.0133,-0.0066
20260625,11:06:13,6000,34,54,54,61,-0.0113,0.0131,-0.0069
20260625,11:07:06,6000,34,54,54,61,-0.0115,0.0131,-0.0071
20260625,11:07:59,6000,34,54,54,61,-0.0113,0.0134,-0.0071
20260625,11:08:51,6000,34,54,54,61,-0.0113,0.0131,-0.0071
20260625,11:09:43,6000,34,54,54,61,-0.0116,0.0135,-0.0072
